city_code,ciiu4n4,type,year_prev,year_current
10906.0,G4721,New,2007,2008
10906.0,G4773,New,2007,2008
10906.0,O8423,New,2007,2008
10906.0,P8522,New,2007,2008
10906.0,P8549,New,2007,2008
10907.0,A0322,New,2007,2008
10907.0,C2821,New,2007,2008
10907.0,C2829,New,2007,2008
10908.0,I5621,New,2007,2008
10908.0,S9420,New,2007,2008
10909.0,G4620,New,2007,2008
10909.0,G4651,New,2007,2008
10909.0,H4921,New,2007,2008
10909.0,Q8620,New,2007,2008
10909.0,S9420,New,2007,2008
10910.0,A0150,New,2007,2008
10910.0,G4530,New,2007,2008
10910.0,G4751,New,2007,2008
10910.0,G4772,New,2007,2008
10910.0,J6130,New,2007,2008
10911.0,G4690,New,2007,2008
10911.0,S9420,New,2007,2008
10912.0,A0163,New,2007,2008
10912.0,H4921,New,2007,2008
10913.0,A0112,New,2007,2008
10913.0,P8521,New,2007,2008
10914.0,G4730,New,2007,2008
10914.0,P8521,New,2007,2008
10914.0,S9491,New,2007,2008
10916.0,F4100,New,2007,2008
10916.0,J6020,New,2007,2008
10916.0,K6420,New,2007,2008
10916.0,K6619,New,2007,2008
10916.0,M7020,New,2007,2008
10916.0,M7110,New,2007,2008
10918.0,G4730,New,2007,2008
10918.0,O8412,New,2007,2008
10918.0,S9491,New,2007,2008
10919.0,H4921,New,2007,2008
10919.0,O8423,New,2007,2008
10919.0,P8522,New,2007,2008
10920.0,A0112,New,2007,2008
10920.0,A0122,New,2007,2008
10920.0,F4290,New,2007,2008
10920.0,S9420,New,2007,2008
10921.0,A0311,New,2007,2008
10921.0,A0312,New,2007,2008
10923.0,A0114,New,2007,2008
10924.0,A0163,New,2007,2008
10924.0,O8423,New,2007,2008
10925.0,C2819,New,2007,2008
10925.0,G4620,New,2007,2008
10927.0,Q8620,New,2007,2008
11201.0,A0161,New,2007,2008
11201.0,G4540,New,2007,2008
11201.0,G4651,New,2007,2008
11201.0,O8413,New,2007,2008
11201.0,Q8790,New,2007,2008
11201.0,S9491,New,2007,2008
11202.0,G4630,New,2007,2008
11202.0,O8412,New,2007,2008
11203.0,K6419,New,2007,2008
11203.0,N8129,New,2007,2008
11203.0,S9491,New,2007,2008
11205.0,A0129,New,2007,2008
11205.0,C1079,New,2007,2008
11205.0,C1610,New,2007,2008
11205.0,G4759,New,2007,2008
11206.0,M7490,New,2007,2008
11206.0,O8412,New,2007,2008
11207.0,A0150,New,2007,2008
11207.0,K6419,New,2007,2008
11207.0,O8423,New,2007,2008
11207.0,P8522,New,2007,2008
11208.0,A0112,New,2007,2008
11208.0,O8423,New,2007,2008
11209.0,G4620,New,2007,2008
11209.0,O8423,New,2007,2008
11210.0,A0126,New,2007,2008
11210.0,A0150,New,2007,2008
11210.0,G4620,New,2007,2008
11210.0,G4659,New,2007,2008
11210.0,O8423,New,2007,2008
11210.0,S9420,New,2007,2008
11211.0,B0810,New,2007,2008
11211.0,F4100,New,2007,2008
11213.0,O8423,New,2007,2008
11213.0,P8521,New,2007,2008
11213.0,S9420,New,2007,2008
11301.0,J6202,New,2007,2008
11301.0,M7110,New,2007,2008
11301.0,N7710,New,2007,2008
11301.0,O8411,New,2007,2008
11301.0,S9420,New,2007,2008
11301.0,S9603,New,2007,2008
11302.0,A0141,New,2007,2008
11302.0,H4923,New,2007,2008
11302.0,K6419,New,2007,2008
11302.0,Q8730,New,2007,2008
11303.0,C1062,New,2007,2008
11304.0,A0122,New,2007,2008
11304.0,P8522,New,2007,2008
11305.0,A0210,New,2007,2008
11305.0,P8521,New,2007,2008
11305.0,Q8620,New,2007,2008
11305.0,Q8890,New,2007,2008
11305.0,S9491,New,2007,2008
11306.0,F4100,New,2007,2008
11306.0,G4759,New,2007,2008
11306.0,H5221,New,2007,2008
11306.0,S9491,New,2007,2008
11307.0,A0146,New,2007,2008
11307.0,C1010,New,2007,2008
11308.0,C2511,New,2007,2008
11308.0,C3011,New,2007,2008
11308.0,C3315,New,2007,2008
11308.0,F4220,New,2007,2008
